Diameter_nm,PoreVol_ccg,PoreArea_m2g,dV_d,dS_d,dV_logd,dS_logd
5.9972,0.0083824,5.5908,0.020071,13.387,0.27705,184.79
6.4408,0.017125,11.02,0.018621,11.564,0.27603,171.43
6.8418,0.022906,14.4,0.017392,10.168,0.27394,160.16
7.3242,0.031202,18.931,0.013116,7.1628,0.22105,120.72
7.9087,0.038479,22.611,0.013565,6.8605,0.24692,124.89
8.6738,0.049379,27.638,0.01097,5.059,0.21886,100.93
9.6807,0.059448,31.798,0.0098692,4.0779,0.21979,90.814
10.5947,0.065146,33.95,0.0070552,2.6637,0.17203,64.949
11.5862,0.075229,37.431,0.0085782,2.9615,0.22865,78.94
13.0901,0.088434,41.466,0.0072061,2.202,0.21684,66.262
15.4133,0.10698,46.278,0.0065903,1.7103,0.23324,60.53
18.5879,0.13196,51.654,0.0070659,1.5205,0.30151,64.883
22.2055,0.16305,57.256,0.0084049,1.514,0.42874,77.232
29.4069,0.28434,73.753,0.011332,1.5414,0.75875,103.21
43.2387,0.45387,89.437,0.0099958,0.9247,0.98229,90.872
85.004,0.88942,109.93,0.0065428,0.30788,1.2122,57.044
